old_indication;index;old_indication_normalized
recurrent supratentorial glioblastoma;13248;gbm
recurrent solid tumors;13249;solid tumors
recurrent refractory cd19 positive adult b-cell malignancies;13250;rr cd19 b-cell malignancies
recurrent refractory acute myeloid leukemia (aml);13251;leukemia
recurrent rectal cancer;13252;bc
"recurrent pulmonary osteosarcoma; recurrent high-";13253;"ipf cf pe iim lf; recurrent"
"recurrent prostate cancer; stage iii prostate cancer ajcc v8; stage iva prostate cancer ajcc v8";13254;"bc; crpc; crpc"
recurrent prostate cancer;13255;bc
recurrent primary intracranial malignant cancer;13256;mpnst
recurrent platinum-resistant ovarian cancer;13257;epithelial ovarian cancer
recurrent pancreatic cancer;13258;bc
"recurrent ovarian, fallopian tube, or primary peritoneal cancer; malignant effusion";13259;"recurrent; ft rftc prftc ng tube placement ftea; ppc; malignant pleural effusion"
"recurrent ovarian cancer; secondary cytoreductive surgery; olaparib beyond progression; platinum chemotherapy; liver transplant";13260;"bc; surgery; olaparib beyond progression; chemo; liver mets peritoneal mets liver transplant brain mets"
"recurrent ovarian cancer; recurrent fallopian tube cancer; primary peritoneal cancer";13261;"bc; ft rftc prftc ng tube placement ftea; bc"
"recurrent ovarian cancer; recurrent epithelial cancer of ovary; recurrent epithelial ovarian cancer; recurrent fallopian tube cancer; peritoneal cancer; recurrent cancer of ovary; adenocarcinoma of";13262;"bc; epithelial ovarian cancer; epithelial ovarian cancer; ft rftc prftc ng tube placement ftea; bc; epithelial ovarian cancer; adenocarcinoma"
"recurrent ovarian cancer; fallopian tube cancer; primary peritoneal cancer";13263;"bc; bc; bc"
"recurrent ovarian cancer; breast cancer; tnbc; prostate cancer; gastric cancer";13264;"bc; bc; tnbc; bc; bc"
recurrent ovarian cancer;13265;bc
recurrent or treatment-resistant ovarian cancer;13266;epithelial ovarian cancer
recurrent or squamous cell cancer of the head and neck;13267;nsclc
recurrent or solid tumors;13268;solid tumors
recurrent or solid cancer;13269;epithelial ovarian cancer
recurrent or refractory b-cell non hodgkins lymphoma;13270;dlbcl
recurrent or progressive high-;13271;rpg
recurrent or progressive glioma;13272;rpg
recurrent or oligometastatic endometrial cancer;13273;epithelial ovarian cancer
recurrent or nasopharyngeal cancer;13274;epithelial ovarian cancer
recurrent or metastatic solid tumors;13275;solid tumors
"recurrent or metastatic nasopharyngeal cancer; pd-1 resistant";13276;"epithelial ovarian cancer; pd-1 resistant."
recurrent or metastatic nasopharyngeal cancer;13277;epithelial ovarian cancer
"recurrent or metastatic head and neck squamous cell cancer; solid tumors";13278;"nsclc; solid tumors"
recurrent or metastatic head and neck squamous cell cancer (hnscc);13279;nsclc
recurrent or metastatic head and neck squamous cell cancer;13280;nsclc
"recurrent or metastatic head and neck cancer; hpv-related neck squamous cell cancer; metastatic h";13281;"hn cancer; nsclc; mets"
recurrent or metastatic gynecological malignancies;13282;t-cell malignancies gynecological malignancies pediatric malignancies
recurrent or metastatic cervical cancer;13283;epithelial ovarian cancer
recurrent or metastatic advanced malignant tumors;13284;metastatic sarcoma
recurrent or metastatic adenoid cystic cancer;13285;epithelial ovarian cancer
recurrent or malignant solid tumors;13286;solid tumors
recurrent or head and neck squamous cell cancer;13287;nsclc
recurrent or head and neck cancer;13288;hn cancer
recurrent or esophageal squamous cell cancer;13289;nsclc
recurrent or endometrial cancer;13290;epithelial ovarian cancer
recurrent or cervical cancer;13291;epithelial ovarian cancer
recurrent or breast cancer;13292;bc
recurrent or bladder cancer;13293;bladder cancer
recurrent or advanced endometrial cancer;13294;epithelial ovarian cancer
"recurrent oligodendroglioma; progressive oligodendroglioma";13295;"recurrent; oligodendroglioma"
recurrent npc;13296;recurrent
"recurrent non-muscle invasive bladder cancer; stage 0a bladder cancer; stage 0is bladder cancer";13297;"bladder cancer; bladder cancer; bladder cancer"
recurrent non-muscle invasive bladder cancer;13298;bladder cancer
recurrent nasopharyngeal cancer;13299;bc
"recurrent multiple myeloma; refractory multiple myeloma";13300;"mm; mm"
recurrent mucinous ovarian cancer;13301;epithelial ovarian cancer
recurrent metastatic squamous cell cancer of the head and neck;13302;nsclc
recurrent metastatic non-squamous non-small cell lung cancer;13303;nsclc
recurrent metastatic hnscc (head and neck squamous cell cancer);13304;hn cancer
recurrent metastatic head and neck squamous cell cancer (rm hnscc);13305;nsclc
recurrent metastatic head and neck squamous cell cancer;13306;nsclc
recurrent metastatic esophageal squamous cell cancer;13307;nsclc
recurrent meningioma;13308;recurrent
recurrent melanoma;13309;melanoma
"recurrent medulloblastoma; recurrent ependymoma; cns malignancies";13310;"mb; recurrent; malignancies"
"recurrent mantle cell lymphoma; refractory mantle cell lymphoma";13311;"ptcl ctcl b-nhl t-lymphoblastic lymphoma m; ptcl ctcl b-nhl t-lymphoblastic lymphoma m"
recurrent malignant tumors of the head and neck;13312;hn cancer
recurrent malignant ovarian cancer;13313;mpnst
"recurrent malignant glioma; who grade 2 glioma; who grade 3 glioma; who grade 4";13314;"glioma; grade 3 glioma grade 4 glioma missing tooth grade 2 glioma; grade 3 glioma grade 4 glioma missing tooth grade 2 glioma; grade 3 glioma grade 4 glioma missing tooth grade 2 glioma"
recurrent malignant glioma;13315;glioma
"recurrent malignant ascites; chemotherapy resistant solid tumours";13316;"ascites; solid tumors"
recurrent lung non-small cell cancer;13317;nsclc
recurrent low-grade serous ovarian cancer;13318;epithelial ovarian cancer
recurrent implant failure;13319;hf rf rf lf onlf
recurrent idh1 mutant lower grade gliomas;13320;idh1 mutant gliomas
recurrent human papillomavirus associated cancer;13321;epithelial ovarian cancer
recurrent high-risk non-muscle invasive bladder cancer (hr-nmibc) after bacillus calmette-g;13322;bladder cancer
"recurrent high-grade glioma; progressive high-grade glioma";13323;"glioma; glioma"
"recurrent high-grade glioma; grade iii astrocytoma; oligodendroglioma; oligoastrocytoma";13324;"glioma; astrocytoma; oligodendroglioma; astrocytoma"
recurrent high-grade glioma;13325;glioma
recurrent high-grade cns tumors (diffuse intrinsic pontine glioma, medulloblastoma, anaplastic epend;13326;"dipg; mb; aneo"
recurrent high ovarian cancers;13327;epithelial ovarian cancer
"recurrent high grade glioma; anaplastic astrocytoma; anaplastic oligodendroglioma; gliob";13328;"grade 3 glioma grade 4 glioma missing tooth grade 2 glioma; astrocytoma; oligodendroglioma; gliob"
recurrent high-;13329;recurrent
recurrent high;13330;htn
"recurrent hepatocellular cancer (hcc); stage iii hcc; stage iv hcc; unresectable hcc";13331;"epithelial ovarian cancer; hcc; hcc; hcc"
recurrent hepatocellular cancer;13332;bc
recurrent head and neck squamous cell cancer;13333;nsclc
"recurrent head and neck cutaneous squamous cell cancer; recurrent hypopharyngeal squamous cell ca";13334;"nsclc; hypopharyngeal squamous cell ca"
"recurrent head and neck cancer; metastatic head-and-neck squamous-cell cancer; hnscc";13335;"hn cancer; metastatic salivary gland cancer msgc; hnscc"
"recurrent head and neck cancer; head and neck cancer; hpv oropharyngeal squamous cell cancer; unresectable head and neck squamous cell cancer";13336;"hn cancer; hn cancer; nsclc; nsclc"
recurrent gynecological clear cell cancer;13337;nsclc
"recurrent group 3 medulloblastoma; recurrent group 4 non-shhnon-wnt medulloblastoma";13338;"recurrent medulloblastoma; recurrent medulloblastoma"
recurrent grade 1-3a follicular lymphoma;13339;rrb-nhl
"recurrent glioma; glioblastoma; idh mutated astrocytoma";13340;"glioma; gbm; astrocytoma"
recurrent glioma;13341;glioma
"recurrent glioblastoma; who grade 4 glioma";13342;"gbm; grade 3 glioma grade 4 glioma missing tooth grade 2 glioma"
"recurrent glioblastoma; recurrent who glioma; recurrent who glioma; recurrent who glioma";13343;"gbm; glioma; glioma; glioma"
"recurrent glioblastoma; recurrent gliosarcoma";13344;"gbm; recurrent"
"recurrent glioblastoma; recurrent astrocytoma; recurrent oligodendroglioma; recurrent glioma";13345;"gbm; astrocytoma; recurrent; glioma"
"recurrent glioblastoma; recurrent astrocytoma";13346;"gbm; astrocytoma"
"recurrent glioblastoma; mgmt-methylated glioblastoma";13347;"gbm; gbm"
"recurrent glioblastoma; glioblastoma multiforme (gbm)";13348;"gbm; gbm"
"recurrent glioblastoma; brain cancer";13349;"gbm; bc"
"recurrent glioblastoma; anaplastic astrocytoma";13350;"gbm; astrocytoma"
"recurrent glioblastoma multiforme; locally unresectable or pancreatic ductal adenocarcinoma; locally unresectable or gastroesophageal adenocarcinoma";13351;"gbm; pdac; solid cancer"
recurrent glioblastoma multiforme;13352;gbm
recurrent glioblastoma;13353;gbm
"recurrent fallopian tube clear cell adenocarcinoma; recurrent ovarian clear cell adenocarcinoma; recurrent platinum-resistant fallopian tube cancer; recurrent platinum-resistant ovarian cancer";13354;"ft rftc prftc ng tube placement ftea; epithelial ovarian cancer; ft rftc prftc ng tube placement ftea; epithelial ovarian cancer"
"recurrent epithelial ovarian cancer; fallopian tube cancer; primary peritoneal cancer";13355;"epithelial ovarian cancer; bc; bc"
"recurrent endometrial cancer; unresectable endometrial cancer";13356;"bc; bc"
"recurrent endometrial cancer; solid tumors";13357;"bc; solid tumors"
"recurrent endometrial cancer; recurrent ovarian cancer";13358;"bc; bc"
"recurrent endometrial cancer; recurrent fallopian tube cancer; recurrent ovarian cancer; recurrent primary peritoneal cancer";13359;"bc; ft rftc prftc ng tube placement ftea; bc; epithelial ovarian cancer"
recurrent endometrial cancer;13360;bc
"recurrent diffuse large b-cell lymphoma; refractory diffuse large b-cell lymphoma; trans";13361;"dlbcl; dlbcl; trans"
"recurrent diffuse large b-cell lymphoma; refractory diffuse large b-cell lymphoma; rel";13362;"dlbcl; dlbcl; relapse"
"recurrent diffuse large b-cell lymphoma; refractory diffuse large b-cell lymphoma; high";13363;"dlbcl; dlbcl; htn"
"recurrent diffuse large b-cell lymphoma; refractory diffuse large b-cell lymphoma";13364;"dlbcl; dlbcl"
"recurrent diffuse large b-cell lymphoma; recurrent grade 3b follicular lymphoma; recurrent";13365;"dlbcl; rrb-nhl; recurrent"
recurrent diffuse large b-cell lymphoma;13366;dlbcl
"recurrent diffuse hemispheric glioma; recurrent malignant bra";13367;"dipg; asthma"
recurrent clear-cell renal cell cancer (ccrcc);13368;nsclc
recurrent clear cell ovarian cancer;13369;nsclc
"recurrent chronic myelomonocytic leukemia; refractory chronic myelomonocytic leukemia; myelod";13370;"cll; cll; myelod"
"recurrent chronic lymphocytic leukemia; refractory chronic lymphocytic leukemia; small lym";13371;"cll; cll; lymphoma"
"recurrent childhood acute myeloid leukemia; recurrent childhood acute lymphoblastic leukemia; refrac";13372;"leukemia; all; refractory"
"recurrent cervical cancer; metastatic cervical cancer; persistent cervical cancer";13373;"bc; bc; bc"
recurrent cervical cancer;13374;bc
"recurrent castration-sensitive prostate cancer; metastatic hormone-sensitive prostate cancer";13375;"crpc; crpc"
recurrent carcinosarcoma;13376;recurrent
"recurrent breast cancer; ipsilateral recurrence";13377;"bc; recurrence"
recurrent breast cancer ipsilateral breast cancer recurrence;13378;bc
"recurrent b-cell non-hodgkin lymphoma; refractory b-cell non-hodgkin lymphoma";13379;"dlbcl; dlbcl"
"recurrent b-cell lymphoma; refractory b-cell lymphoma; diffuse large b-cell lymph";13380;"lymphoma; lymphoma; dlbcl"
"recurrent astrocytoma; grade 3 idh-mutant astrocytoma; recurrent glioblastoma";13381;"astrocytoma; grade 3 glioma grade 4 glioma missing tooth grade 2 glioma; gbm"
recurrent and/or solid cancer;13382;epithelial ovarian cancer
"recurrent and/or metastatic head and neck squamous cell cancer; stage iv cutaneous squamous cell";13383;"nsclc; pancreatic cancer"
recurrent and squamous cell cancer of the nasal cavity and paranasal sinuses;13384;nsclc
recurrent and refractory diffuse large b-cell lymphoma;13385;dlbcl
recurrent and refractory b-cell non-hodgkins lymphoma;13386;dlbcl
recurrent and metastatic cervical cancer;13387;hn cancer
recurrent and glioma;13388;glioma
"recurrent anaplastic astrocytoma; recurrent anaplastic oligoastrocytoma; recurrent anaplastic oligodendroglioma; recurrent glioblastoma; recurrent gliosarcoma; recurrent malignant glioma; recurrent wh";13389;"astrocytoma; recurrent; recurrent; gbm; recurrent; glioma; recurrent"
"recurrent alk positive large b-cell lymphoma; recurrent b-cell non-hodgkin lymphoma; recurrent";13390;"dlbcl; dlbcl; recurrent"
recurrent advanced or metastatic solid tumors;13391;solid tumors
"recurrent acute myeloid leukemia (raml); refractory acute myeloid leukemia (raml)";13392;"leukemia; leukemia"
recurrent acute myeloid leukemia (raml), refractory acute myeloid leukemia (raml);13393;"leukemia; leukemia"
recurrent acute myeloid leukemia (aml);13394;leukemia
"recurrent acute lymphoblastic leukemia; recurrent b acute lymphoblastic leukemia; recurrent b";13395;"all; all; hb ha ah hb aihe"
recurrence free survival;13396;recurrence
rectum cancer;13397;bc
"rectocele; pelvic organ prolapse";13398;"rectocele; pelvic organ prolapse"
rectal squamous cell cancer;13399;nsclc
"rectal neoplasms; urogenital neoplasms";13400;"neoplasms; neoplasms"
rectal neoplasms;13401;neoplasms
"rectal malignant neoplasms; locally advanced rectal cancer";13402;"neoplasms; larc"
"rectal cancer; total neoadjuvant treatment; neoadjuvant therapy; radiotherapy; chemotherapy; organ p";13403;"bc; tkr; nadt; rt; chemo; pelvic organ prolapse"
"rectal cancer; stage iia rectal cancer; stage iii rectal cancer";13404;"bc; pancreatic cancer; pancreatic cancer"
"rectal cancer; solid cancer";13405;"bc; bc"
"rectal cancer; rectal neoplasms";13406;"bc; neoplasms"
"rectal cancer; pancreatic cancer";13407;"bc; bc"
"rectal cancer; mss early rectal cancer";13408;"bc; rectal cancer"
"rectal cancer; mid-low pmmrmss rectal cancer";13409;"bc; rectal cancer"
"rectal cancer; locally advanced; induction chemotherapy followed by short course radiotherapy";13410;"bc; larc; induction chemotherapy followed by short course radiotherapy."
"rectal cancer; locally advanced rectal cancer; stage iii rectal cancer";13411;"bc; larc; pancreatic cancer"
"rectal cancer; local rectal cancer";13412;"bc; bc"
"rectal cancer; liver metastases";13413;"bc; liver mets peritoneal mets liver transplant brain mets"
"rectal cancer; high-risk locally advanced rectal cancer (larc); moderately hypofractionated radiothe";13414;"bc; larc; mod severe cap"
"rectal cancer; hernia incisional";13415;"bc; hernia"
"rectal cancer; her2 positive rectal adenocarcinoma";13416;"bc; her2 rectal adenocarcinoma her2- breast adenocarcinoma"
"rectal cancer; esophageal cancer";13417;"bc; bc"
"rectal cancer; endometrial cancer; cervical cancer; prostate cancer";13418;"bc; bc; bc; bc"
"rectal cancer; colon cancer";13419;"bc; bc"
"rectal cancer; cancer";13420;"bc; bc"
"rectal cancer; adenocarcinoma";13421;"bc; adenocarcinoma"
"rectal cancer surgery; rectal cancer; low anterior resection syndrome";13422;"bc; bc; lars"
"rectal cancer stage iii; lung cancer stage iii";13423;"pancreatic cancer; nsclc"
rectal cancer patients;13424;bc
"rectal adenocarcinoma; total neoadjuvant therapy; rectal preservation";13425;"adenocarcinoma; tkr; alveolar ridge"
"rectal adenocarcinoma; microsatellite stable rectal cancer; locally advanced rectal adenocarcinom";13426;"adenocarcinoma; mcrc crc laparoscopic radical resection unresectable crc; larc"
"rectal adenocarcinoma; high-risk cancer";13427;"adenocarcinoma; bc"
rectal adenocarcinoma;13428;adenocarcinoma
reactive cutaneous capillary endothelial hyperplasia;13429;reactive cutaneous capillary endothelial hyperplasia
ras wild sided colorectal cancer;13430;mcrc crc laparoscopic radical resection unresectable crc
"ras mutation; nf1 mutation; raf mutation; solid tumors";13431;"brca mutation; brca mutation; brca mutation; solid tumors"
rare sarcomas;13432;soft tissue
rare neoplasm of skin;13433;malignant neoplasm
"rare malignant tumors; her2 expression";13434;"solid tumors; her2"
rare malignant solid neoplasm;13435;malignant neoplasm
rare malignant neoplasm;13436;malignant neoplasm
rare epithelial ovarian tumors;13437;epithelial ovarian cancer
rare cancer;13438;bc
radiotherapy-induced oral mucositis;13439;oral mucositis
radiotherapy and chemotherapy-induced anemia;13440;radiotherapy and chemotherapy-induced anemia
radioiodine refractory differentiated thyroid cancer;13441;pd thyroid cancer
radiofrequency ablation of lung cancer;13442;nsclc
"radiodermatitis; malignant neoplasm of breast";13443;"radiodermatitis; malignant neoplasm"
radio dermatitis;13444;dermatitis
"radiation-induced xerostomia; head and neck cancer";13445;"xerostomia; hn cancer"
"radiation-induced oral mucositis; malignant head and neck tumors";13446;"oral mucositis; hn cancer"
radiation-induced oral mucositis;13447;oral mucositis
"radiation-induced mucositis; radiation-related sinusitis";13448;"oral mucositis; sinusitis"
"radiation vaginitis; cervical cancer";13449;"vaginitis; bc"
"radiation toxicity; esophagitis; esophageal cancer";13450;"radtox; esophagitis; bc"
"radiation therapy; study to evaluate the safety of oral colchic";13451;"nadt; digestive diseases"
"radiation necrosis; high; bra";13452;"pulp necrosis; htn; asthma"
radiation induced lung injury;13453;dili cili rili dica diak
radiation induced fibrosis;13454;ipf cf pe iim lf
"radiation dermatitis; breast cancer";13455;"dermatitis; bc"
pulmonary sarcomatoid cancer;13456;bc
"pulmonary resection; postoperative analgesia";13457;"ipf cf pe iim lf; epidural analgesia"
pulmonary pleomorphic cancer;13458;bc
"pulmonary nodules; lung cancer";13459;"ipf cf pe iim lf; bc"
"pulmonary neoplasm; pulmonary cancer; thoracic diseases; thoracic cancer; thoracic neoplasms";13460;"ipf cf pe iim lf; bc; cvd msd ad pd ed; bc; neoplasms"
pulmonary large-cell neuroendocrine cancer;13461;neuroendocrine cancer
"pulmonary hemorrhage; cancer";13462;"ipf cf pe iim lf; bc"
pulmonary cancer thrombotic microangiopathy;13463;pulmonary cancer-associated thrombotic microangiopathy
pulmonary adenocarcinoma;13464;adenocarcinoma
"pten-altered solid tumors; her2 breast cancer";13465;"solid tumors; bc"
"pten hamartoma cancer syndrome; pten hamartoma syndrome";13466;"mmr syndrome; rds mets cad ibs rtis"
ptcl;13467;ptcl ctcl b-nhl t-lymphoblastic lymphoma m
pseudomyxoma peritonei;13468;pseudomyxoma peritonei
"prostatic neoplasms; neoplasm metastasis; urogenital neoplasms";13469;"neoplasms; mpn mets stomach neoplasm lung neoplasm pancreatic neoplasm; neoplasms"
"prostatic neoplasms; intraprostatic lesions";13470;"neoplasms; lesions"
"prostatic neoplasms; castration-resistant; stomach neoplasms; esophageal neoplasms; head and neck neoplasms; colorectal neoplasms; pancreatic neoplasms; lung neoplasms; urinary bladder neoplasms; meso";13471;"neoplasms; castration-resistant; neoplasms; neoplasms; hn cancer; neoplasms; neoplasms; neoplasms; neoplasms; meso"
"prostatic neoplasms; castration-resistant; prostate cancer";13472;"neoplasms; castration-resistant; bc"
"prostatic neoplasms; castration-resistant prostate cancer";13473;"neoplasms; bc"
"prostatic neoplasms; castration-resistant";13474;"neoplasms; castration-resistant"
prostatic neoplasms - castration-resistant;13475;mcrpc
prostatic neoplasms;13476;neoplasms
"prostatic neoplasm; breast cancer";13477;"mpn mets stomach neoplasm lung neoplasm pancreatic neoplasm; bc"
prostatic neoplasm;13478;mpn mets stomach neoplasm lung neoplasm pancreatic neoplasm
"prostatic cancer; castration-resistant; metastases detected by functional imaging";13479;"bc; castration-resistant; metastases rwa"
prostatic adenocarcinoma;13480;adenocarcinoma
"prostate neuroendocrine cancer; prostate small cell neuroendocrine cancer";13481;"bc; nsclc"
"prostate cancers; breast cancer; lung cancers; ovarian cancer; glioblastoma multiforme gbm; pancreas cancer";13482;"cancers; bc; nsclc ltr lc lt lung; bc; gbm; bc"
prostate cancer-related fatigue;13483;fatigue
"prostate cancer; very high risk";13484;"bc; htn"
"prostate cancer; urological and genital diseases";13485;"bc; nutrmetab diseases urogenital diseases biliarypancreas diseases"
"prostate cancer; urinary tract infections; sepsis";13486;"bc; uti; sepsis"
"prostate cancer; urinary incontinence";13487;"bc; uti"
"prostate cancer; unfavorable intermediate risk";13488;"bc; fall risk fall prevention hair loss sexual risk behaviors risk taking

fall risk"
"prostate cancer; suspected metastasis; suspected recurrence; disease; 177lu-labelled psma ligands";13489;"bc; metastasis; recurrence; ckd cad aki ed scd; 177lu-labelled psma ligands"
"prostate cancer; stage iib; stage iic";13490;"bc; stage; stage"
"prostate cancer; stage ii prostate cancer; stage iiia prostate cancer; stage iiib prostate cancer";13491;"bc; crpc; crpc; crpc"
"prostate cancer; stage i, iia, and iib prostate cancer; active surveillance";13492;"bc; stage; iia; hn cancer; active smokers"
"prostate cancer; small cell neuroendocrine cancer";13493;"bc; nsclc"
"prostate cancer; renal cancer; urethral cancer; solid cancer; castration-resistant prostate cancer";13494;"bc; bc; bc; bc; bc"
"prostate cancer; recurrent prostate cancer; pet";13495;"bc; bc; appetite"
"prostate cancer; recurrent prostate cancer; biochemical recurrence of prostate cancer";13496;"bc; bc; crpc"
"prostate cancer; recurrent prostate cancer";13497;"bc; bc"
"prostate cancer; recurrent prostate adenocarcinoma; oligometastatic prostate cancer; stage iib, iic,";13498;"bc; adenocarcinoma; bc; stage; iic"
"prostate cancer; radical prostatectomy";13499;"bc; radical mastoidectomy"
"prostate cancer; prostate neoplasm";13500;"bc; mpn mets stomach neoplasm lung neoplasm pancreatic neoplasm"
"prostate cancer; prostate inflammation";13501;"bc; inflammation"
"prostate cancer; prostate cancer; prostate cancer";13502;"bc; bc; bc"
"prostate cancer; prostate cancer; hormone sensitive prostate cancer";13503;"bc; bc; crpc"
"prostate cancer; prostate cancer";13504;"bc; bc"
"prostate cancer; prostate adenocarcinoma; prostate cancer";13505;"bc; adenocarcinoma; bc"
"prostate cancer; prostate adenocarcinoma; hormone sensitive prostate cancer";13506;"bc; adenocarcinoma; crpc"
"prostate cancer; prostate adenocarcinoma";13507;"bc; adenocarcinoma"
"prostate cancer; prior negative inconclusive biopsy";13508;"bc; prior negative inconclusive biopsy"
"prostate cancer; primary and metastatic lesions; oligo-metastatic prostate cancer";13509;"bc; ssp dysmenorrhea glomerular diseases lesions myelofibrosis; bc"
"prostate cancer; post-prostatectomy patients with biochemically recurrent prostate cancer";13510;"bc; crpc"
"prostate cancer; post-operative pain";13511;"bc; pain"
"prostate cancer; postoperative pain";13512;"bc; pain"
"prostate cancer; pancreatic cancer; breast cancer; ovarian cancer";13513;"bc; bc; bc; bc"
"prostate cancer; other specified disorders of prostate";13514;"bc; digestive diseases"
"prostate cancer; oligoprogressive metastatic disease";13515;"bc; ckd cad aki ed scd"
"prostate cancer; oligometastatic prostate adenocarcinoma";13516;"bc; adenocarcinoma"
"prostate cancer; non small cell lung cancer";13517;"bc; nsclc"
"prostate cancer; neoplasms; relapse";13518;"bc; neoplasms; relapse"
"prostate cancer; neoplasms";13519;"bc; neoplasms"
"prostate cancer; negative equivocal mri";13520;"bc; tnbc"
"prostate cancer; metastatic prostate cancer; castrate-resistant prostate cancer; abiraterone resista";13521;"bc; bc; bc; abiraterone resista"
"prostate cancer; metastatic prostate cancer";13522;"bc; bc"
"prostate cancer; metastatic disease; recurrent disease; vasomotor disturbance; hot flashes";13523;"bc; ckd cad aki ed scd; ckd cad aki ed scd; vasomotor disturbance; vasomotor symptoms"
"prostate cancer; metastatic disease";13524;"bc; ckd cad aki ed scd"
"prostate cancer; metastatic castration-sensitive prostate cancer; suboptimal psa response";13525;"bc; crpc; ovarian dysfunction"
"prostate cancer; metastatic castration-resistant prostate cancer; metastatic hormone sensitive prost";13526;"bc; crpc; metastatic hormone sensitive prost"
"prostate cancer; metastatic castration-resistant prostate cancer (mcrpc)";13527;"bc; crpc"
"prostate cancer; metastatic castration-resistant prostate cancer";13528;"bc; crpc"
"prostate cancer; metastatic castrate-resistant prostate cancer (mcrpc)";13529;"bc; crpc"
"prostate cancer; metabolic syndrome; obesity; cardiovascular morbidity; bone diseases; hyper";13530;"bc; rds mets cad ibs rtis; obesity; cvd msd ad pd ed; cvd msd ad pd ed; hyperopia"
"prostate cancer; mcrpc";13531;"bc; mcrpc"
"prostate cancer; malignant neoplasm of prostate; secondary malignant neoplasm of prostate";13532;"bc; malignant neoplasm; malignant neoplasm"
"prostate cancer; malignant neoplasm of prostate";13533;"bc; malignant neoplasm"
"prostate cancer; lymphocele";13534;"bc; lymphocele"
"prostate cancer; lung cancer; lip, oral cavity, and pharynx cancer";13535;"bc; bc; lp; oral mucositis; bc"
"prostate cancer; kidney cancer; constipation";13536;"bc; bc; constipation"
"prostate cancer; intermediate risk";13537;"bc; fall risk fall prevention hair loss sexual risk behaviors risk taking

fall risk"
"prostate cancer; intermediate- or high-risk prostate cancer prior to radiotherapy";13538;"bc; crpc"
"prostate cancer; insul";13539;"bc; insulin"
"prostate cancer; hypertension; renal disease; autonomic dysfunction";13540;"bc; htn; ckd cad aki ed scd; ed"
"prostate cancer; hot flashes in men with prostate cancer";13541;"bc; vasomotor symptoms"
"prostate cancer; hormone-refractory prostate cancer; prostate cancer; prostate cancer; prostate cancer recurrent";13542;"bc; bc; bc; bc; bc"
"prostate cancer; hormone-refractory prostate cancer; hormone-sensitive prostate cancer";13543;"bc; bc; bc"
"prostate cancer; hormone sensitive prostate cancer";13544;"bc; crpc"
"prostate cancer; high-risk prostate cancer; persistent or biochemical recurrence of psa after radica";13545;"bc; bc; vaginal prolapse"
"prostate cancer; high-risk prostate cancer with a brca mutation";13546;"bc; crpc"
"prostate cancer; high-risk prostate cancer";13547;"bc; bc"
"prostate cancer; high-risk or very high-risk prostate cancer; stage iic, iii, and iv prostate cancer";13548;"bc; crpc; stage; stage iii; hn cancer"
"prostate cancer; high-risk localized prostate cancer";13549;"bc; crpc"
"prostate cancer; high-risk localized or locally advanced prostate cancer";13550;"bc; crpc"
"prostate cancer; high-risk cancer; brca1 mutation; brca2 mutation; prostatic adenocarcinoma";13551;"bc; bc; brca mutation; brca mutation; adenocarcinoma"
"prostate cancer; high-risk biochemical recurrence; non-metastatic castration-sensitive prostate canc";13552;"bc; recurrence; non-metastatic castration-sensitive prostate canc"
"prostate cancer; head and neck squamous cell cancer; pancreatic cancer";13553;"bc; nsclc; bc"
"prostate cancer; gleason group upgrade; active surveillance";13554;"bc; gleason group upgrade; active smokers"
"prostate cancer; genito urinary cancer";13555;"bc; bc"
"prostate cancer; ewing sarcoma; other solid tumors";13556;"bc; sarcoma; solid tumors"
"prostate cancer; ewing sarcoma";13557;"bc; sarcoma"
"prostate cancer; erectile dysfunction; incontinence";13558;"bc; ed; uti"
"prostate cancer; erectile dysfunction following radical prostatectomy";13559;"bc; ed"
"prostate cancer; erectile dysfunction";13560;"bc; ed"
"prostate cancer; endometriosis";13561;"bc; endometriosis"
"prostate cancer; colon cancer";13562;"bc; bc"
"prostate cancer; castration-sensitive prostate cancer";13563;"bc; bc"
"prostate cancer; castration-resistant prostate cancer; urogenital neoplasms; prostatic neoplasms; prostatic diseases";13564;"bc; bc; neoplasms; neoplasms; cvd msd ad pd ed"
"prostate cancer; castration-resistant prostate cancer; taxane-resistant prostate cancer";13565;"bc; bc; bc"
"prostate cancer; castration-resistant prostate cancer; oligo prostate cancer; hormone sensitive prostate cancer";13566;"bc; bc; bc; crpc"
"prostate cancer; castration-resistant prostate cancer; castration-resistant prostate cancer";13567;"bc; bc; bc"
"prostate cancer; castration-resistant prostate cancer";13568;"bc; bc"
"prostate cancer; castration resistant prostate cancer";13569;"bc; crpc"
"prostate cancer; castrate resistant prostate cancer; homologous recombination deficiency";13570;"bc; crpc; iron def"
"prostate cancer; cancer; hormone sensitive prostate cancer; castration-resistant prostate cancer";13571;"bc; bc; crpc; bc"
"prostate cancer; cancer of prostate";13572;"bc; bc"
"prostate cancer; breast cancer";13573;"bc; bc"
"prostate cancer; bone metastasis";13574;"bc; metastasis"
"prostate cancer; bone metastases";13575;"bc; liver mets peritoneal mets liver transplant brain mets"
"prostate cancer; bladder cancer; renal cancer; colon cancer";13576;"bc; bc; bc; bc"
"prostate cancer; bladder cancer";13577;"bc; bc"
"prostate cancer; biochemically recurrent prostate cancer";13578;"bc; crpc"
